ID,gold_pur,,,,,,
9392,1,,,,,,
3769,3,,,,,,
10146,3,,,,,,
4741,16,,,,,,
1880,6,,,,,,
6471,3,,,,,,
5718,231,,,,,,
3478,21,,,,,,
7848,110,,,,,,
7999,17,,,,,,
11101,183,,,,,,
9212,205,,,,,,
10983,74,,,,,,
3629,27,,,,,,
4673,36,,,,,,
796,177,,,,,,
618,15,,,,,,
380,192,,,,,,
1092,29,,,,,,
8962,3,,,,,,
8207,0,,,,,,
6521,12,,,,,,
535,76,,,,,,
4608,76,,,,,,
11086,3,,,,,,
1064,3,,,,,,
7000,246,,,,,,
1581,3,,,,,,
7384,47,,,,,,
10552,45,,,,,,
6409,127,,,,,,
9507,50,,,,,,
9560,122,,,,,,
10991,43,,,,,,
4712,9,,,,,,
11056,22,,,,,,
7414,32,,,,,,
3076,6,,,,,,
6355,1,,,,,,
7959,13,,,,,,
5512,24,,,,,,
10102,28,,,,,,
9369,38,,,,,,
3711,0,,,,,,
6931,30,,,,,,
9596,6,,,,,,
2727,96,,,,,,
8416,2,,,,,,
3967,35,,,,,,
2139,12,,,,,,
2162,49,,,,,,
9242,77,,,,,,
10595,16,,,,,,
4855,2,,,,,,
5049,2,,,,,,
4967,12,,,,,,
5255,362,,,,,,
9215,72,,,,,,
3525,1,,,,,,
3619,80,,,,,,
4415,14,,,,,,
3645,3,,,,,,
4692,32,,,,,,
3955,1,,,,,,
5313,3,,,,,,
7196,1,,,,,,
1381,18,,,,,,
10951,9,,,,,,
4322,12,,,,,,
7444,2,,,,,,
2942,144,,,,,,
2874,8,,,,,,
3667,44,,,,,,
3697,12,,,,,,
9955,12,,,,,,
5320,18,,,,,,
6422,172,,,,,,
3690,40,,,,,,
2408,21,,,,,,
9260,33,,,,,,
9648,31,,,,,,
4939,28,,,,,,
8652,28,,,,,,
4702,120,,,,,,
2587,0,,,,,,
2811,1,,,,,,
9150,1,,,,,,
10127,11,,,,,,
5493,6,,,,,,
2666,41,,,,,,
10099,76,,,,,,
10562,141,,,,,,
7881,141,,,,,,
6721,248,,,,,,
5204,28,,,,,,
5209,82,,,,,,
10128,82,,,,,,
9284,82,,,,,,
8643,196,,,,,,
1685,0,,,,,,
2877,44,,,,,,
8369,11,,,,,,
6233,9,,,,,,
195,30,,,,,,
1501,4,,,,,,
10846,139,,,,,,
8341,12,,,,,,
10766,9,,,,,,
9971,9,,,,,,
1740,38,,,,,,
8737,2,,,,,,
6466,4,,,,,,
10430,42,,,,,,
8773,24,,,,,,
2371,12,,,,,,
7786,11,,,,,,
4088,4,,,,,,
4971,4,,,,,,
10560,1,,,,,,
6892,28,,,,,,
11004,2,,,,,,
1818,4,,,,,,
9485,12,,,,,,
6646,1,,,,,,
4248,38,,,,,,
7451,38,,,,,,
7861,11,,,,,,
5232,6,,,,,,
3011,6,,,,,,
5758,46,,,,,,
2173,3,,,,,,
10711,93,,,,,,
8268,15,,,,,,
2782,15,,,,,,
9432,12,,,,,,
5872,24,,,,,,
11187,23,,,,,,
2428,12,,,,,,
1726,39,,,,,,
1802,77,,,,,,
1162,35,,,,,,
10643,35,,,,,,
11112,190,,,,,,
2114,45,,,,,,
4261,45,,,,,,
2457,11,,,,,,
2495,15,,,,,,
6983,0,,,,,,
3436,1,,,,,,
7505,14,,,,,,
4286,27,,,,,,
7224,7,,,,,,
6215,7,,,,,,
968,5,,,,,,
4096,5,,,,,,
3153,2,,,,,,
6504,28,,,,,,
5329,0,,,,,,
1175,153,,,,,,
1377,66,,,,,,
4607,75,,,,,,
4944,75,,,,,,
9483,29,,,,,,
1378,134,,,,,,
5991,47,,,,,,
2807,37,,,,,,
1052,37,,,,,,
9760,174,,,,,,
7101,174,,,,,,
9909,50,,,,,,
5907,2,,,,,,
793,4,,,,,,
8832,5,,,,,,
2535,75,,,,,,
1523,6,,,,,,
1839,18,,,,,,
9972,6,,,,,,
2945,6,,,,,,
9291,1,,,,,,
2829,28,,,,,,
8594,14,,,,,,
1592,33,,,,,,
4310,26,,,,,,
6950,1,,,,,,
8492,0,,,,,,
5684,3,,,,,,
5909,152,,,,,,
9855,20,,,,,,
975,44,,,,,,
8754,3,,,,,,
1456,170,,,,,,
2849,170,,,,,,
9984,182,,,,,,
5527,15,,,,,,
5628,78,,,,,,
7627,20,,,,,,
1351,12,,,,,,
10629,17,,,,,,
10395,42,,,,,,
6961,1,,,,,,
10196,23,,,,,,
6182,5,,,,,,
10432,2,,,,,,
1542,7,,,,,,
4220,0,,,,,,
4141,42,,,,,,
1940,6,,,,,,
1506,20,,,,,,
6347,10,,,,,,
1361,68,,,,,,
9422,10,,,,,,
1081,66,,,,,,
7458,24,,,,,,
1012,169,,,,,,
5453,108,,,,,,
6818,106,,,,,,
7807,106,,,,,,
7532,16,,,,,,
8346,72,,,,,,
5564,97,,,,,,
3267,60,,,,,,
3091,56,,,,,,
762,56,,,,,,
8029,16,,,,,,
4376,30,,,,,,
10981,45,,,,,,
486,45,,,,,,
1158,24,,,,,,
9119,38,,,,,,
6694,114,,,,,,
10573,27,,,,,,
10140,0,,,,,,
2286,27,,,,,,
8420,17,,,,,,
10065,17,,,,,,
1029,20,,,,,,
4207,44,,,,,,
10277,4,,,,,,
4436,18,,,,,,
2929,18,,,,,,
6281,26,,,,,,
10390,6,,,,,,
2574,24,,,,,,
709,92,,,,,,
5955,233,,,,,,
8486,20,,,,,,
10343,205,,,,,,
6652,31,,,,,,
8746,57,,,,,,
4686,79,,,,,,
3551,48,,,,,,
4338,12,,,,,,
4444,21,,,,,,
498,5,,,,,,
8230,5,,,,,,
2826,2,,,,,,
6222,2,,,,,,
7352,45,,,,,,
10928,146,,,,,,
10736,134,,,,,,
10163,38,,,,,,
6168,15,,,,,,
4656,40,,,,,,
626,5,,,,,,
3870,89,,,,,,
6299,198,,,,,,
7798,91,,,,,,
9973,4,,,,,,
4299,17,,,,,,
10971,176,,,,,,
9931,1,,,,,,
6679,0,,,,,,
5961,16,,,,,,
6255,21,,,,,,
8614,14,,,,,,
7828,15,,,,,,
1277,34,,,,,,
3595,21,,,,,,
5735,96,,,,,,
5350,96,,,,,,
4137,30,,,,,,
6357,31,,,,,,
9316,10,,,,,,
3578,15,,,,,,
153,12,,,,,,
10524,196,,,,,,
1518,91,,,,,,
2036,15,,,,,,
9495,32,,,,,,
2631,32,,,,,,
6312,86,,,,,,
615,110,,,,,,
4406,42,,,,,,
10061,196,,,,,,
10619,24,,,,,,
4945,108,,,,,,
1777,11,,,,,,
4023,22,,,,,,
7922,63,,,,,,
10699,3,,,,,,
7516,9,,,,,,
3129,9,,,,,,
5121,171,,,,,,
2186,183,,,,,,
10548,44,,,,,,
6384,242,,,,,,
2625,47,,,,,,
1676,5,,,,,,
5534,72,,,,,,
6859,9,,,,,,
271,37,,,,,,
7699,37,,,,,,
7832,58,,,,,,
938,25,,,,,,
7873,5,,,,,,
9967,50,,,,,,
1087,48,,,,,,
8314,111,,,,,,
3762,54,,,,,,
10383,40,,,,,,
6798,39,,,,,,
4168,39,,,,,,
6690,20,,,,,,
10602,36,,,,,,
3220,36,,,,,,
5424,36,,,,,,
7488,15,,,,,,
5289,29,,,,,,
347,34,,,,,,
5236,158,,,,,,
9478,50,,,,,,
477,101,,,,,,
7411,1,,,,,,
3107,42,,,,,,
7437,5,,,,,,
255,2,,,,,,
3790,1,,,,,,
749,27,,,,,,
1503,2,,,,,,
8650,10,,,,,,
607,27,,,,,,
1008,124,,,,,,
9396,5,,,,,,
933,5,,,,,,
5710,3,,,,,,
2882,47,,,,,,
2379,146,,,,,,
5342,9,,,,,,
3262,41,,,,,,
5832,28,,,,,,
5025,9,,,,,,
569,111,,,,,,
3102,7,,,,,,
9449,11,,,,,,
8104,25,,,,,,
75,45,,,,,,
6421,118,,,,,,
3037,11,,,,,,
4698,11,,,,,,
948,13,,,,,,
6177,23,,,,,,
3517,43,,,,,,
3491,232,,,,,,
7610,66,,,,,,
4377,227,,,,,,
9850,3,,,,,,
5544,107,,,,,,
6497,92,,,,,,
4543,203,,,,,,
5117,53,,,,,,
1448,3,,,,,,
6887,16,,,,,,
7500,16,,,,,,
2724,6,,,,,,
2256,1,,,,,,
1100,9,,,,,,
7725,81,,,,,,
2612,48,,,,,,
113,6,,,,,,
2868,2,,,,,,
4216,114,,,,,,
199,12,,,,,,
359,19,,,,,,
8842,7,,,,,,
2154,7,,,,,,
6050,47,,,,,,
9204,141,,,,,,
4472,18,,,,,,
6864,4,,,,,,
10617,4,,,,,,
3924,35,,,,,,
5654,17,,,,,,
9216,4,,,,,,
8086,5,,,,,,
9097,50,,,,,,
7631,142,,,,,,
7275,12,,,,,,
8334,12,,,,,,
1987,15,,,,,,
2281,11,,,,,,
7034,12,,,,,,
2797,50,,,,,,
3934,117,,,,,,
2493,117,,,,,,
3759,200,,,,,,
965,27,,,,,,
7378,27,,,,,,
1859,18,,,,,,
6263,13,,,,,,
2072,34,,,,,,
8908,38,,,,,,
738,25,,,,,,
10129,107,,,,,,
807,34,,,,,,
3334,143,,,,,,
5423,2,,,,,,
4426,95,,,,,,
10489,84,,,,,,
2570,46,,,,,,
3834,53,,,,,,
590,99,,,,,,
4791,2,,,,,,
5304,1,,,,,,
2426,18,,,,,,
35,85,,,,,,
8041,41,,,,,,
3584,39,,,,,,
7718,45,,,,,,
8605,6,,,,,,
1646,8,,,,,,
9206,134,,,,,,
10757,0,,,,,,
6885,1,,,,,,
907,27,,,,,,
1150,224,,,,,,
3867,71,,,,,,
3859,71,,,,,,
3265,5,,,,,,
4418,15,,,,,,
4611,207,,,,,,
4530,138,,,,,,
7736,27,,,,,,
9949,49,,,,,,
942,36,,,,,,
6181,28,,,,,,
7660,20,,,,,,
2055,20,,,,,,
5107,20,,,,,,
1626,20,,,,,,
6428,32,,,,,,
9617,4,,,,,,
4339,35,,,,,,
7235,7,,,,,,
8527,11,,,,,,
1968,7,,,,,,
9862,3,,,,,,
11075,12,,,,,,
6658,154,,,,,,
4552,117,,,,,,
10377,88,,,,,,
5336,8,,,,,,
10350,0,,,,,,
11071,216,,,,,,
11100,2,,,,,,
6516,6,,,,,,
1734,5,,,,,,
2131,25,,,,,,
6439,152,,,,,,
10591,19,,,,,,
9797,51,,,,,,
9336,41,,,,,,
2174,6,,,,,,
3197,59,,,,,,
9185,0,,,,,,
905,26,,,,,,
10858,30,,,,,,
8925,89,,,,,,
2499,26,,,,,,
1109,1,,,,,,
326,12,,,,,,
10967,10,,,,,,
5370,23,,,,,,
2098,1,,,,,,
1773,13,,,,,,
5036,102,,,,,,
4856,63,,,,,,
8722,63,,,,,,
2156,4,,,,,,
2569,5,,,,,,
10151,139,,,,,,
10473,38,,,,,,
7079,92,,,,,,
6875,70,,,,,,
6728,6,,,,,,
2471,43,,,,,,
49,9,,,,,,
4973,9,,,,,,
6387,18,,,,,,
5866,34,,,,,,
8523,5,,,,,,
7901,4,,,,,,
898,29,,,,,,
10242,8,,,,,,
5835,9,,,,,,
6919,15,,,,,,
6197,3,,,,,,
10475,14,,,,,,
4201,91,,,,,,
5092,34,,,,,,
6566,38,,,,,,
6613,14,,,,,,
9094,192,,,,,,
9847,192,,,,,,
10767,26,,,,,,
7943,5,,,,,,
1055,6,,,,,,
1458,8,,,,,,
8402,43,,,,,,
6246,43,,,,,,
4654,24,,,,,,
6103,7,,,,,,
8147,9,,,,,,
10207,1,,,,,,
4838,1,,,,,,
10219,3,,,,,,
2176,80,,,,,,
9121,80,,,,,,
5802,27,,,,,,
10790,7,,,,,,
178,117,,,,,,
2308,29,,,,,,
7431,86,,,,,,
9405,21,,,,,,
10525,9,,,,,,
7503,51,,,,,,
8783,17,,,,,,
1403,3,,,,,,
4643,49,,,,,,
3463,8,,,,,,
4055,20,,,,,,
7010,76,,,,,,
4767,76,,,,,,
1927,39,,,,,,
437,151,,,,,,
4331,13,,,,,,
4084,54,,,,,,
8135,11,,,,,,
9750,73,,,,,,
6682,15,,,,,,
10581,119,,,,,,
3710,17,,,,,,
5207,132,,,,,,
9360,48,,,,,,
4679,50,,,,,,
1340,33,,,,,,
10839,5,,,,,,
5303,12,,,,,,
9829,13,,,,,,
10469,53,,,,,,
3602,14,,,,,,
4756,112,,,,,,
8181,24,,,,,,
6958,8,,,,,,
10856,8,,,,,,
3321,10,,,,,,
5394,7,,,,,,
433,41,,,,,,
6320,14,,,,,,
5376,1,,,,,,
1867,108,,,,,,
4324,191,,,,,,
3661,32,,,,,,
521,97,,,,,,
10403,11,,,,,,
7186,9,,,,,,
4329,1,,,,,,
4394,14,,,,,,
1717,52,,,,,,
1016,5,,,,,,
3783,0,,,,,,
5848,130,,,,,,
10727,30,,,,,,
5299,30,,,,,,
6872,23,,,,,,
1143,11,,,,,,
10381,4,,,,,,
11007,2,,,,,,
9145,94,,,,,,
5267,5,,,,,,
9738,11,,,,,,
10212,11,,,,,,
10010,31,,,,,,
10069,27,,,,,,
2694,0,,,,,,
10613,15,,,,,,
4646,223,,,,,,
6935,223,,,,,,
5596,28,,,,,,
1044,49,,,,,,
9274,63,,,,,,
9076,3,,,,,,
4947,64,,,,,,
10176,137,,,,,,
3507,58,,,,,,
9235,1,,,,,,
10341,41,,,,,,
2639,19,,,,,,
6201,10,,,,,,
7397,100,,,,,,
2181,27,,,,,,
1204,35,,,,,,
1170,15,,,,,,
8812,17,,,,,,
4690,48,,,,,,
1715,5,,,,,,
10821,42,,,,,,
6543,61,,,,,,
7119,38,,,,,,
3518,7,,,,,,
1245,101,,,,,,
2561,101,,,,,,
9624,54,,,,,,
10509,4,,,,,,
7629,6,,,,,,
7875,0,,,,,,
2815,37,,,,,,
2936,1,,,,,,
3665,22,,,,,,
10888,29,,,,,,
6637,124,,,,,,
5077,79,,,,,,
6173,79,,,,,,
3969,64,,,,,,
4580,182,,,,,,
663,6,,,,,,
8299,6,,,,,,
8945,20,,,,,,
10870,247,,,,,,
1184,24,,,,,,
6141,82,,,,,,
8825,58,,,,,,
2217,6,,,,,,
4102,6,,,,,,
4653,39,,,,,,
10092,14,,,,,,
5788,25,,,,,,
4669,17,,,,,,
6295,142,,,,,,
7453,37,,,,,,
10841,31,,,,,,
821,20,,,,,,
3933,48,,,,,,
1225,241,,,,,,
7059,241,,,,,,
5633,15,,,,,,
843,15,,,,,,
6211,11,,,,,,
7007,18,,,,,,
9671,28,,,,,,
8975,28,,,,,,
6616,58,,,,,,
6248,48,,,,,,
7428,108,,,,,,
3075,0,,,,,,
2937,33,,,,,,
203,27,,,,,,
2021,89,,,,,,
880,46,,,,,,
524,46,,,,,,
10837,16,,,,,,
7011,12,,,,,,
4184,40,,,,,,
7679,0,,,,,,
7485,16,,,,,,
7530,16,,,,,,
4369,163,,,,,,
10652,163,,,,,,
286,7,,,,,,
5922,2,,,,,,
7250,17,,,,,,
2478,4,,,,,,
1160,7,,,,,,
9214,58,,,,,,
273,5,,,,,,
851,92,,,,,,
9729,64,,,,,,
9665,57,,,,,,
2620,7,,,,,,
8254,7,,,,,,
3852,54,,,,,,
1000,54,,,,,,
3099,49,,,,,,
6318,89,,,,,,
5396,89,,,,,,
7966,22,,,,,,
454,43,,,,,,
309,21,,,,,,
3571,21,,,,,,
8395,31,,,,,,
2591,35,,,,,,
1640,20,,,,,,
810,64,,,,,,
9423,3,,,,,,
4345,4,,,,,,
89,21,,,,,,
5294,4,,,,,,
1321,12,,,,,,
2686,5,,,,,,
1215,88,,,,,,
9283,0,,,,,,
3120,4,,,,,,
5868,16,,,,,,
8143,10,,,,,,
3479,13,,,,,,
7214,126,,,,,,
5543,78,,,,,,
9347,6,,,,,,
10160,6,,,,,,
1406,27,,,,,,
7019,18,,,,,,
2157,22,,,,,,
8939,59,,,,,,
10250,8,,,,,,
1272,66,,,,,,
3007,1,,,,,,
5513,1,,,,,,
679,1,,,,,,
8876,4,,,,,,
10827,29,,,,,,
7300,39,,,,,,
4268,7,,,,,,
4603,6,,,,,,
8659,20,,,,,,
10708,2,,,,,,
1176,9,,,,,,
10380,18,,,,,,
7037,3,,,,,,
11096,6,,,,,,
6374,39,,,,,,
5552,21,,,,,,
2245,23,,,,,,
6200,100,,,,,,
9904,141,,,,,,
10031,4,,,,,,
6642,28,,,,,,
10882,26,,,,,,
5636,49,,,,,,
8692,15,,,,,,
8091,21,,,,,,
8080,3,,,,,,
8370,34,,,,,,
4550,7,,,,,,
3381,4,,,,,,
10556,6,,,,,,
9467,2,,,,,,
2891,154,,,,,,
5011,154,,,,,,
8140,36,,,,,,
11039,41,,,,,,
78,9,,,,,,
5517,9,,,,,,
5290,23,,,,,,
4128,120,,,,,,
8534,30,,,,,,
9592,8,,,,,,
8957,144,,,,,,
9308,53,,,,,,
544,53,,,,,,
5989,34,,,,,,
635,70,,,,,,
6673,39,,,,,,
1710,27,,,,,,
523,3,,,,,,
8977,11,,,,,,
9736,4,,,,,,
1544,103,,,,,,
6575,75,,,,,,
6147,9,,,,,,
6354,19,,,,,,
4769,9,,,,,,
7540,5,,,,,,
5247,5,,,,,,
5987,12,,,,,,
9960,2,,,,,,
10972,35,,,,,,
1399,203,,,,,,
2698,26,,,,,,
6340,11,,,,,,
4107,38,,,,,,
10906,38,,,,,,
2557,11,,,,,,
8786,58,,,,,,
7187,96,,,,,,
6119,4,,,,,,
2980,4,,,,,,
3850,15,,,,,,
1077,9,,,,,,
9733,36,,,,,,
8462,36,,,,,,
4764,13,,,,,,
2223,149,,,,,,
7788,1,,,,,,
5827,10,,,,,,
2958,6,,,,,,
4954,5,,,,,,
3139,166,,,,,,
9952,10,,,,,,
8180,14,,,,,,
3276,12,,,,,,
4994,33,,,,,,
3598,11,,,,,,
945,13,,,,,,
5048,38,,,,,,
6214,15,,,,,,
6230,7,,,,,,
2968,42,,,,,,
8800,42,,,,,,
1907,69,,,,,,
10478,36,,,,,,
4188,89,,,,,,
8720,22,,,,,,
2225,241,,,,,,
4790,33,,,,,,
1131,7,,,,,,
202,57,,,,,,
9589,57,,,,,,
3900,57,,,,,,
9958,57,,,,,,
8955,10,,,,,,
10033,10,,,,,,
5751,10,,,,,,
3308,30,,,,,,
7297,20,,,,,,
8008,30,,,,,,
1232,130,,,,,,
2345,130,,,,,,
1628,32,,,,,,
5081,10,,,,,,
839,18,,,,,,
3706,26,,,,,,
5154,0,,,,,,
8584,53,,,,,,
6583,107,,,,,,
3433,107,,,,,,
10486,97,,,,,,
8687,125,,,,,,
7842,3,,,,,,
3749,15,,,,,,
1331,3,,,,,,
5995,41,,,,,,
8985,33,,,,,,
2798,58,,,,,,
7108,56,,,,,,
2781,34,,,,,,
3623,4,,,,,,
194,2,,,,,,
10833,19,,,,,,
2315,29,,,,,,
6336,4,,,,,,
10738,3,,,,,,
8286,5,,,,,,
2166,7,,,,,,
10691,20,,,,,,
9739,26,,,,,,
1829,24,,,,,,
6260,190,,,,,,
10448,27,,,,,,
1343,88,,,,,,
4749,88,,,,,,
531,176,,,,,,
6905,54,,,,,,
1045,20,,,,,,
4012,12,,,,,,
5529,8,,,,,,
4001,8,,,,,,
10420,38,,,,,,
7723,80,,,,,,
2963,80,,,,,,
10634,11,,,,,,
5180,4,,,,,,
6866,7,,,,,,
1328,133,,,,,,
1139,112,,,,,,
4961,3,,,,,,
5177,19,,,,,,
